Sc,Re,Hi,Sn,,,
Dr,Re,Hi,Sn,,,
Hi,Sn,Sp,Mu,,,
Hi,Sc,Dr,Eg,,,
Ge,Sn,Py,Sp,,,
Ge,Sn,Hc,Dr,,,
Eg,Sp,Hi,Sn,,,
Sp,Sn,Hi,Bs,,,
Ar,Hi,Sn,Ps,,,
Sp,Hc,Hi,Eg,,,
Ps,Dr,Hi,Hb,,,
Hi,Sn,Sp,Ps,,,
Bs,Sp,Sn,Hi,,,
Sn,Hi,Bs,Co,,,
Sn,Ps,Re,Hi,,,
Sn,Ge,Sp,Bs,,,
Sn,Mu,Hb,Hi,,,
Sn,Hi,Bb,Sp,,,
Te,Hi,Ar,Co,,,
Ge,Sn,Pb,Cb,,,
Ge,Pd,Ar,Sn,,,
Sp,Sn,Ge,Co,,,
Hi,Hb,Sn,Re,,,
Sn,Ge,Sp,Bb,,,
Hi,Sn,Sc,Bb,,,
Sp,Hi,Sb,Bs,,,
Ar,Sb,Bs,Pd,,,
Ge,Ec,Sp,So,,,
Hc,Hi,Bs,Sb,,,
Ge,Sn,Bs,Ar,,,
Dr,Ec,Ge,Sn,,,
Co,Ec,Hi,Sn,,,
Co,Sn,Hi,Sc,,,
Sc,Ar,Ps,Ge,,,
Sn,Ge,So,Bb,,,
Hi,Sn,Re,Dr,,,
Bs,Ps,Sn,Hi,,,
Ps,Dr,Sn,Ge,,,
Bs,Eg,Hi,Sn,,,
Hi,Sc,Co,Eg,,,
Sp,Ge,Sn,Ps,,,
Re,Sp,Hi,Sn,,,
Py,Sp,Hc,Ge,,,
Ge,Sn,Co,Sc,,,
Sp,Eg,Cb,Hi,,,
Dr,Bs,Py,,,,
Ar,Ge,Sp,Ps,,,
Hi,Sn,Mu,Co,,,
Ps,Py,Sn,Ge,,,
Hi,Sp,Hc,Dr,,,
Hi,Sn,Bs,Sp,,,
Ge,Py,Bs,Hi,,,
Hb,Bb,Sn,Sc,,,
Sp,Ge,Bb,Ec,,,
Bs,Hi,Sn,Ec,,,
Sc,Pd,Eg,Ar,,,
Te,Hi,Ar,Sn,,,
Bs,Hc,Sp,Sn,,,
Hi,Sn,Bs,Sp,,,
Ar,Ge,Sn,Re,,,
Py,Bb,Sc,Hi,,,
Ge,Cb,Sc,Hi,,,
Ar,Hi,Hc,Sn,,,
Sp,Hi,Bs,Ge,,,
Mu,Hc,Hb,Re,,,
Ge,Sn,Hb,Re,,,
Mu,Py,Re,Bs,,,
Hi,Ge,Sn,Re,,,
Pb,Mu,Hi,Hc,,,
Ps,Pb,Hi,Sn,,,
Hi,Sp,Sn,Re,,,
Hi,Mu,So,Ps,,,
Hb,Ps,Hc,Py,,,
Re,Hi,Hb,Ps,,,
Ge,Sc,Ec,Sn,,,
Sn,Fr,Ar,Ge,,,
Hi,Sn,Sp,Re,,,
Hi,Py,Sn,Ps,,,
Bs,Eg,Sp,Hi,,,
Ps,Hi,Re,Hc,,,
Hi,Sn,Sp,Sc,,,
Hi,Sp,Sc,Sn,,,
Ar,Hi,Hb,Bb,,,
Ar,Sn,Hi,Mu,,,
Hi,Sn,Pd,Bs,,,
Ge,Sn,Sp,Eg,,,
Sc,Co,Ge,Sn,,,
Co,Sc,Eg,Bb,,,
Co,Sc,Eg,Mu,,,
Ge,Sn,So,Bs,,,
Hi,Sc,Fr,Bs,,,
Sn,Hi,Ps,Sc,,,
Re,Pd,Dr,Hb,,,
Py,Eg,Ge,Sn,,,
Sn,Ge,Co,Mu,,,
Sn,Ge,Mu,Co,,,
Ar,Cb,Mu,Eg,,,
Py,Ps,Te,Ge,,,
Sp,Pd,Co,,,,
Sn,Re,Bs,Ge,,,
Ar,Hi,Sn,Sc,,,
Eg,Mu,Py,Sn,,,
Hi,Sn,Ps,Pb,,,
Sn,Hi,Hb,Bs,,,
Sn,Hb,Hi,Ar,,,
Py,Ge,Sn,Re,,,
Mu,Bs,Hc,Ps,,,
Hi,Ge,Eg,Bs,,,
Sn,Hi,Dr,Sp,,,
Bs,Sp,Pd,Ec,,,
Co,Hi,Cb,Sc,,,
Eg,Bs,Ge,Ec,,,
Eg,Sp,Bb,Py,,,
Ge,Ec,Bs,Eg,,,
Sc,Fr,Ge,Sp,,,
Sp,Eg,Fr,Hi,,,
Fr,Ge,Sp,Re,,,
Sp,Dr,Hi,Fr,,,
Co,Sc,Fr,Hc,,,
So,Hi,Fr,Bs,,,
Ps,Py,Mu,Dr,,,
Ec,Ge,Fr,Ps,,,
Hi,Te,Bb,Fr,,,
Ar,Fr,Hi,Sc,,,
Sc,Ps,Ge,Fr,,,
Ar,Dr,Cb,Fr,,,
Te,Sn,Sb,Hi,,,
Sc,Fr,Hi,Bs,,,
Ge,Ps,Bs,Fr,,,
Fr,Hi,Ps,Re,,,
Hi,Mu,Bs,Sb,,,
Bs,Ec,Eg,Ge,,,
Bs,Ps,Te,Sn,,,
Ar,Bs,Pd,Sc,,,
Bs,Ge,Eg,Sp,,,
Bb,Ge,Pd,Sp,,,
Ge,Hi,Sp,Bs,,,
Bs,Eg,Hb,Hi,,,
Sp,Fr,Eg,Hb,,,
Hi,Fr,Py,Ge,,,
Hi,Py,Fr,Pd,,,
Hi,Mu,Fr,Bs,,,
Hi,Sp,Sc,Re,,,
Sp,Eg,Pd,Sc,,,
Ar,Ps,Sc,Py,,,
Bs,Hi,Ps,Sp,,,
Fr,Hi,Ar,So,,,
Bs,Hb,Sb,Ge,,,
Ar,Eg,Sp,Ge,,,
Hb,Ps,Bs,Fr,,,
Hi,Sn,Ps,Sc,,,
Ge,Re,Sn,Bs,,,
Eg,Ge,Sp,Mu,,,
Ge,Sn,Sc,Py,,,
Ar,Ge,Fr,Eg,,,
Sp,Ge,Pd,Eg,,,
Ge,Fr,Re,Sp,,,
Sc,Hi,Fr,Mu,,,
Sp,Ec,Ge,Co,,,
Sp,Sb,Ge,Eg,,,
Cb,Eg,Hi,Py,,,
Ge,Sp,Pd,Eg,,,
Bs,Sb,Hi,Mu,,,
Cb,Hc,Fr,Hi,,,
Sp,Hi,Re,Ps,,,
Co,Ge,Sc,Sn,,,
Hi,Fr,Pd,Ps,,,
Pb,So,Ge,,,,
Bb,Eg,Hi,Mu,,,
Co,Hi,Cb,Sc,,,
Ps,So,Co,Bs,,,
Mu,Ge,Py,Ec,,,
Hi,Hc,Cb,Te,,,
Hi,Pd,Ar,Py,,,
Ps,Hi,Fr,Mu,,,
Ge,Sp,Fr,Ps,,,
So,Py,Hi,Re,,,
Ge,Fr,Bb,Co,,,
Fr,Hi,Ps,Dr,,,
Pd,Ge,Fr,Bs,,,
Sc,Ge,Sn,Eg,,,
Hi,Ge,Fr,Sp,,,
Sc,Hi,Dr,Pd,,,
Hi,Bs,Ps,Fr,,,
Fr,Re,Ge,Hi,,,
Ge,Mu,Fr,Co,,,
Hi,Ar,Sn,Ps,,,
Sp,Fr,Cb,Ge,,,
Fr,Hi,Ge,Bs,,,
Sn,Ge,Ar,Dr,,,
Fr,Bs,Ge,Ec,,,
Pd,Ge,Bs,Sp,,,
Sc,Ge,Dr,Sn,,,
Dr,Sc,Sp,Eg,,,
Fr,Hi,Ar,Py,,,
Co,Fr,Eg,Ge,,,
Pb,Ps,Fr,Ge,,,
Hi,Ge,Eg,Pd,,,
Sp,Ge,Mu,Ec,,,
Bs,Sp,Fr,Ge,,,
Bs,Ps,Sc,Hi,,,
Ge,Sp,Ps,Eg,,,
Bb,Ge,Sc,Sb,,,
Ec,Ge,Cb,Fr,,,
Sp,Ge,Bs,Sb,,,
Ge,Cb,Co,Ar,,,
Fr,So,Mu,Co,,,
Hi,Ge,Pd,Fr,,,
Bb,Fr,Ge,Ps,,,
Eg,Sp,Ge,Sc,,,
Cb,Hi,Ps,Pb,,,
Ec,Ge,Sp,Pd,,,
Dr,Hi,Sn,Pd,,,
Bs,Sp,Re,Sc,,,
Sp,Py,Eg,Ge,,,
Fr,Hi,Bb,Dr,,,
Fr,Hi,Pd,Ps,,,
Sp,Ge,Eg,Bs,,,
